FIPS,State,County,% Uninsured
06033,California,Lake,8
06035,California,Lassen,6
06037,California,Los Angeles,9
06039,California,Madera,10
06041,California,Marin,5
06043,California,Mariposa,7
06045,California,Mendocino,10
06047,California,Merced,9
06049,California,Modoc,8
06051,California,Mono,10
06053,California,Monterey,12
06055,California,Napa,7
06057,California,Nevada,6
06059,California,Orange,7
06061,California,Placer,4
06063,California,Plumas,6
06065,California,Riverside,8
06067,California,Sacramento,5
06069,California,San Benito,7
06071,California,San Bernardino,9
06073,California,San Diego,7
06075,California,San Francisco,4
06077,California,San Joaquin,8
06079,California,San Luis Obispo,7
06081,California,San Mateo,5
06083,California,Santa Barbara,9
06085,California,Santa Clara,4
06087,California,Santa Cruz,6
06089,California,Shasta,7
06091,California,Sierra,6
06093,California,Siskiyou,8
06095,California,Solano,6
06097,California,Sonoma,7
06099,California,Stanislaus,7
06101,California,Sutter,9
06103,California,Tehama,7
06105,California,Trinity,6
06107,California,Tulare,9
06109,California,Tuolumne,6
06111,California,Ventura,8
06113,California,Yolo,6
06115,California,Yuba,7
08000,Colorado,,8
08001,Colorado,Adams,11
08003,Colorado,Alamosa,11
08005,Colorado,Arapahoe,10
08007,Colorado,Archuleta,11
08009,Colorado,Baca,9
08011,Colorado,Bent,8
08013,Colorado,Boulder,6
08014,Colorado,Broomfield,4
08015,Colorado,Chaffee,10
08017,Colorado,Cheyenne,9
08019,Colorado,Clear Creek,7
08021,Colorado,Conejos,9
08023,Colorado,Costilla,11
08025,Colorado,Crowley,9
08027,Colorado,Custer,8
08029,Colorado,Delta,12
08031,Colorado,Denver,9
08033,Colorado,Dolores,8
08035,Colorado,Douglas,4
08037,Colorado,Eagle,12
08039,Colorado,Elbert,7
08041,Colorado,El Paso,8
08043,Colorado,Fremont,9
08045,Colorado,Garfield,14
08047,Colorado,Gilpin,5
08049,Colorado,Grand,10
08051,Colorado,Gunnison,7
08053,Colorado,Hinsdale,14
08055,Colorado,Huerfano,9
08057,Colorado,Jackson,17
08059,Colorado,Jefferson,6
08061,Colorado,Kiowa,7
08063,Colorado,Kit Carson,13
08065,Colorado,Lake,13
08067,Colorado,La Plata,10
08069,Colorado,Larimer,7
08071,Colorado,Las Animas,11
08073,Colorado,Lincoln,8
08075,Colorado,Logan,10
08077,Colorado,Mesa,10
08079,Colorado,Mineral,8
08081,Colorado,Moffat,10
08083,Colorado,Montezuma,12
08085,Colorado,Montrose,13
08087,Colorado,Morgan,13
08089,Colorado,Otero,10
08091,Colorado,Ouray,6
08093,Colorado,Park,7
08095,Colorado,Phillips,13
08097,Colorado,Pitkin,7
08099,Colorado,Prowers,13
08101,Colorado,Pueblo,8
08103,Colorado,Rio Blanco,9
08105,Colorado,Rio Grande,14
08107,Colorado,Routt,9
08109,Colorado,Saguache,12
08111,Colorado,San Juan,14
08113,Colorado,San Miguel,8
08115,Colorado,Sedgwick,10
08117,Colorado,Summit,10
08119,Colorado,Teller,6
08121,Colorado,Washington,9
08123,Colorado,Weld,10
08125,Colorado,Yuma,13
09000,Connecticut,,6
09001,Connecticut,Fairfield,
09003,Connecticut,Hartford,
09005,Connecticut,Litchfield,
09007,Connecticut,Middlesex,
09009,Connecticut,New Haven,
09011,Connecticut,New London,
09013,Connecticut,Tolland,
09015,Connecticut,Windham,
09110,Connecticut,Capitol,6
09120,Connecticut,Greater Bridgeport,8
09130,Connecticut,Lower Connecticut River Valley,4
09140,Connecticut,Naugatuck Valley,6
09150,Connecticut,Northeastern Connecticut,5
09160,Connecticut,Northwest Hills,6
09170,Connecticut,South Central Connecticut,6
09180,Connecticut,Southeastern Connecticut,6
09190,Connecticut,Western Connecticut,7
10000,Delaware,,7
10001,Delaware,Kent,7
10003,Delaware,New Castle,6
10005,Delaware,Sussex,8
11000,District of Columbia,,3
11001,District of Columbia,District of Columbia,3
12000,Florida,,14
12001,Florida,Alachua,10
12003,Florida,Baker,11
12005,Florida,Bay,14
12007,Florida,Bradford,12
12009,Florida,Brevard,11
12011,Florida,Broward,15
12013,Florida,Calhoun,15
12015,Florida,Charlotte,14
12017,Florida,Citrus,13
12019,Florida,Clay,10
12021,Florida,Collier,19
12023,Florida,Columbia,14
12027,Florida,DeSoto,23
12029,Florida,Dixie,15
12031,Florida,Duval,12
12033,Florida,Escambia,12
12035,Florida,Flagler,11
12037,Florida,Franklin,20
12039,Florida,Gadsden,16
12041,Florida,Gilchrist,14
12043,Florida,Glades,25
12045,Florida,Gulf,14
12047,Florida,Hamilton,15
12049,Florida,Hardee,18
12051,Florida,Hendry,24
12053,Florida,Hernando,14
12055,Florida,Highlands,19
12057,Florida,Hillsborough,13
12059,Florida,Holmes,15
12061,Florida,Indian River,14
12063,Florida,Jackson,12
12065,Florida,Jefferson,15
12067,Florida,Lafayette,18
12069,Florida,Lake,13
12071,Florida,Lee,17
12073,Florida,Leon,11
12075,Florida,Levy,17
12077,Florida,Liberty,16
12079,Florida,Madison,16
12081,Florida,Manatee,16
12083,Florida,Marion,16
12085,Florida,Martin,14
12086,Florida,Miami-Dade,16
12087,Florida,Monroe,15
12089,Florida,Nassau,9
12091,Florida,Okaloosa,12
12093,Florida,Okeechobee,18
12095,Florida,Orange,13
12097,Florida,Osceola,13
12099,Florida,Palm Beach,16
12101,Florida,Pasco,12
12103,Florida,Pinellas,13
12105,Florida,Polk,15
12107,Florida,Putnam,17
12109,Florida,St. Johns,8
12111,Florida,St. Lucie,14
12113,Florida,Santa Rosa,10
12115,Florida,Sarasota,13
12117,Florida,Seminole,12
12119,Florida,Sumter,11
12121,Florida,Suwannee,16
12123,Florida,Taylor,13
12125,Florida,Union,11
12127,Florida,Volusia,13
12129,Florida,Wakulla,11
12131,Florida,Walton,14
12133,Florida,Washington,17
13000,Georgia,,14
13001,Georgia,Appling,19
13003,Georgia,Atkinson,21
13005,Georgia,Bacon,17
13007,Georgia,Baker,11
13009,Georgia,Baldwin,15
13011,Georgia,Banks,18
13013,Georgia,Barrow,16
13015,Georgia,Bartow,16
13017,Georgia,Ben Hill,15
13019,Georgia,Berrien,15
13021,Georgia,Bibb,16
13023,Georgia,Bleckley,12
13025,Georgia,Brantley,18
13027,Georgia,Brooks,15
13029,Georgia,Bryan,11
13031,Georgia,Bulloch,14
13033,Georgia,Burke,12
13035,Georgia,Butts,14
13037,Georgia,Calhoun,15
13039,Georgia,Camden,12
13043,Georgia,Candler,20
13045,Georgia,Carroll,14
13047,Georgia,Catoosa,12
13049,Georgia,Charlton,16
13051,Georgia,Chatham,14
13053,Georgia,Chattahoochee,8
13055,Georgia,Chattooga,17
13057,Georgia,Cherokee,13
13059,Georgia,Clarke,15
13061,Georgia,Clay,14
13063,Georgia,Clayton,15
13065,Georgia,Clinch,18
13067,Georgia,Cobb,13
13069,Georgia,Coffee,19
13071,Georgia,Colquitt,20
13073,Georgia,Columbia,10
13075,Georgia,Cook,17
13077,Georgia,Coweta,11
13079,Georgia,Crawford,16
13081,Georgia,Crisp,14
13083,Georgia,Dade,14
13085,Georgia,Dawson,14
13087,Georgia,Decatur,14
13089,Georgia,DeKalb,14
13091,Georgia,Dodge,14
13093,Georgia,Dooly,15
13095,Georgia,Dougherty,16
13097,Georgia,Douglas,14
13099,Georgia,Early,14
13101,Georgia,Echols,19
13103,Georgia,Effingham,11
13105,Georgia,Elbert,18
13107,Georgia,Emanuel,17
13109,Georgia,Evans,18
13111,Georgia,Fannin,18
13113,Georgia,Fayette,10
13115,Georgia,Floyd,16
13117,Georgia,Forsyth,8
13119,Georgia,Franklin,17
13121,Georgia,Fulton,11
13123,Georgia,Gilmer,17
13125,Georgia,Glascock,12
13127,Georgia,Glynn,16
13129,Georgia,Gordon,20
13131,Georgia,Grady,18
13133,Georgia,Greene,14
13135,Georgia,Gwinnett,15
13137,Georgia,Habersham,18
13139,Georgia,Hall,19
13141,Georgia,Hancock,14
13143,Georgia,Haralson,14
13145,Georgia,Harris,9
13147,Georgia,Hart,15
13149,Georgia,Heard,15
13151,Georgia,Henry,10
13153,Georgia,Houston,11
13155,Georgia,Irwin,15
13157,Georgia,Jackson,14
13159,Georgia,Jasper,14
13161,Georgia,Jeff Davis,18
13163,Georgia,Jefferson,19
13165,Georgia,Jenkins,15
13167,Georgia,Johnson,17
13169,Georgia,Jones,12
13171,Georgia,Lamar,13
13173,Georgia,Lanier,14
13175,Georgia,Laurens,14
13177,Georgia,Lee,12
13179,Georgia,Liberty,12
13181,Georgia,Lincoln,20
13183,Georgia,Long,16
13185,Georgia,Lowndes,14
13187,Georgia,Lumpkin,16
13189,Georgia,McDuffie,13
13191,Georgia,McIntosh,17
13193,Georgia,Macon,19
13195,Georgia,Madison,18
13197,Georgia,Marion,18
13199,Georgia,Meriwether,17
13201,Georgia,Miller,14
13205,Georgia,Mitchell,14
13207,Georgia,Monroe,12
13209,Georgia,Montgomery,14
13211,Georgia,Morgan,13
13213,Georgia,Murray,18
13215,Georgia,Muscogee,12
13217,Georgia,Newton,13
13219,Georgia,Oconee,7
13221,Georgia,Oglethorpe,16
13223,Georgia,Paulding,11
13225,Georgia,Peach,15
13227,Georgia,Pickens,16
13229,Georgia,Pierce,16
13231,Georgia,Pike,13
13233,Georgia,Polk,15
13235,Georgia,Pulaski,16
13237,Georgia,Putnam,16
13239,Georgia,Quitman,17
13241,Georgia,Rabun,20
13243,Georgia,Randolph,16
13245,Georgia,Richmond,12
13247,Georgia,Rockdale,15
13249,Georgia,Schley,12
13251,Georgia,Screven,15
13253,Georgia,Seminole,15
13255,Georgia,Spalding,15
13257,Georgia,Stephens,14
13259,Georgia,Stewart,17
13261,Georgia,Sumter,14
13263,Georgia,Talbot,14
13265,Georgia,Taliaferro,11
13267,Georgia,Tattnall,16
13269,Georgia,Taylor,16
13271,Georgia,Telfair,16
13273,Georgia,Terrell,16
13275,Georgia,Thomas,13
13277,Georgia,Tift,17
13279,Georgia,Toombs,16
13281,Georgia,Towns,14
13283,Georgia,Treutlen,19
13285,Georgia,Troup,14
13287,Georgia,Turner,15
13289,Georgia,Twiggs,15
13291,Georgia,Union,17
13293,Georgia,Upson,14
13295,Georgia,Walker,14
13297,Georgia,Walton,13
13299,Georgia,Ware,15
13301,Georgia,Warren,15
13303,Georgia,Washington,14
13305,Georgia,Wayne,18
13307,Georgia,Webster,20
13309,Georgia,Wheeler,18
13311,Georgia,White,17
13313,Georgia,Whitfield,21
13315,Georgia,Wilcox,14
13317,Georgia,Wilkes,18
13319,Georgia,Wilkinson,15
13321,Georgia,Worth,14
15000,Hawaii,,4
15001,Hawaii,Hawaii,5
15003,Hawaii,Honolulu,4
15005,Hawaii,Kalawao,
15007,Hawaii,Kauai,5
15009,Hawaii,Maui,5
16000,Idaho,,10
16001,Idaho,Ada,7
16003,Idaho,Adams,11
16005,Idaho,Bannock,8
16007,Idaho,Bear Lake,9
16009,Idaho,Benewah,14
16011,Idaho,Bingham,11
16013,Idaho,Blaine,15
16015,Idaho,Boise,10
16017,Idaho,Bonner,11
16019,Idaho,Bonneville,9
16021,Idaho,Boundary,14
16023,Idaho,Butte,10
16025,Idaho,Camas,14
16027,Idaho,Canyon,12
16029,Idaho,Caribou,9
16031,Idaho,Cassia,13
16033,Idaho,Clark,22
16035,Idaho,Clearwater,9
16037,Idaho,Custer,13
16039,Idaho,Elmore,12
16041,Idaho,Franklin,10
16043,Idaho,Fremont,13
16045,Idaho,Gem,11
16047,Idaho,Gooding,18
16049,Idaho,Idaho,11
16051,Idaho,Jefferson,9
16053,Idaho,Jerome,16
16055,Idaho,Kootenai,9
16057,Idaho,Latah,7
16059,Idaho,Lemhi,13
16061,Idaho,Lewis,11
16063,Idaho,Lincoln,14
16065,Idaho,Madison,8
16067,Idaho,Minidoka,14
16069,Idaho,Nez Perce,9
16071,Idaho,Oneida,8
16073,Idaho,Owyhee,17
16075,Idaho,Payette,12
16077,Idaho,Power,14
16079,Idaho,Shoshone,11
16081,Idaho,Teton,14
16083,Idaho,Twin Falls,11
16085,Idaho,Valley,11
16087,Idaho,Washington,9
17000,Illinois,,8
17001,Illinois,Adams,6
17003,Illinois,Alexander,6
17005,Illinois,Bond,6
17007,Illinois,Boone,7
17009,Illinois,Brown,4
17011,Illinois,Bureau,7
17013,Illinois,Calhoun,5
17015,Illinois,Carroll,8
17017,Illinois,Cass,8
17019,Illinois,Champaign,6
17021,Illinois,Christian,6
17023,Illinois,Clark,6
17025,Illinois,Clay,6
17027,Illinois,Clinton,6
17029,Illinois,Coles,7
17031,Illinois,Cook,10
17033,Illinois,Crawford,6
17035,Illinois,Cumberland,5
17037,Illinois,DeKalb,6
17039,Illinois,De Witt,6
17041,Illinois,Douglas,12
17043,Illinois,DuPage,6
17045,Illinois,Edgar,6
17047,Illinois,Edwards,6
17049,Illinois,Effingham,5
17051,Illinois,Fayette,8
17053,Illinois,Ford,7
17055,Illinois,Franklin,8
17057,Illinois,Fulton,6
17059,Illinois,Gallatin,6
17061,Illinois,Greene,7
17063,Illinois,Grundy,5
17065,Illinois,Hamilton,7
17067,Illinois,Hancock,6
17069,Illinois,Hardin,6
17071,Illinois,Henderson,6
17073,Illinois,Henry,6
17075,Illinois,Iroquois,8
17077,Illinois,Jackson,7
17079,Illinois,Jasper,6
17081,Illinois,Jefferson,6
17083,Illinois,Jersey,5
17085,Illinois,Jo Daviess,7
17087,Illinois,Johnson,7
17089,Illinois,Kane,9
17091,Illinois,Kankakee,7
17093,Illinois,Kendall,5
17095,Illinois,Knox,7
17097,Illinois,Lake,7
17099,Illinois,LaSalle,6
17101,Illinois,Lawrence,7
17103,Illinois,Lee,6
17105,Illinois,Livingston,6
17107,Illinois,Logan,5
17109,Illinois,McDonough,6
17111,Illinois,McHenry,6
17113,Illinois,McLean,5
17115,Illinois,Macon,5
17117,Illinois,Macoupin,6
17119,Illinois,Madison,5
17121,Illinois,Marion,7
17123,Illinois,Marshall,6
17125,Illinois,Mason,7
17127,Illinois,Massac,7
17129,Illinois,Menard,5
17131,Illinois,Mercer,6
17133,Illinois,Monroe,4
17135,Illinois,Montgomery,7
17137,Illinois,Morgan,6
17139,Illinois,Moultrie,9
17141,Illinois,Ogle,6
17143,Illinois,Peoria,6
17145,Illinois,Perry,6
17147,Illinois,Piatt,5
17149,Illinois,Pike,8
17151,Illinois,Pope,5
17153,Illinois,Pulaski,6
17155,Illinois,Putnam,7
17157,Illinois,Randolph,7
17159,Illinois,Richland,7
17161,Illinois,Rock Island,7
17163,Illinois,St. Clair,5
17165,Illinois,Saline,6
17167,Illinois,Sangamon,5
17169,Illinois,Schuyler,8
17171,Illinois,Scott,5
17173,Illinois,Shelby,6
17175,Illinois,Stark,7
17177,Illinois,Stephenson,5
17179,Illinois,Tazewell,5
17181,Illinois,Union,7
17183,Illinois,Vermilion,5
17185,Illinois,Wabash,6
17187,Illinois,Warren,7
17189,Illinois,Washington,5
17191,Illinois,Wayne,9
17193,Illinois,White,6
17195,Illinois,Whiteside,6
17197,Illinois,Will,6
17199,Illinois,Williamson,5
17201,Illinois,Winnebago,7
17203,Illinois,Woodford,5
18000,Indiana,,8
18001,Indiana,Adams,14
18003,Indiana,Allen,8
18005,Indiana,Bartholomew,8
18007,Indiana,Benton,10
18009,Indiana,Blackford,8
18011,Indiana,Boone,5
18013,Indiana,Brown,8
18015,Indiana,Carroll,10
18017,Indiana,Cass,9
18019,Indiana,Clark,7
18021,Indiana,Clay,7
18023,Indiana,Clinton,10
18025,Indiana,Crawford,10
18027,Indiana,Daviess,17
18029,Indiana,Dearborn,7
18031,Indiana,Decatur,7
18033,Indiana,DeKalb,8
18035,Indiana,Delaware,9
18037,Indiana,Dubois,8
18039,Indiana,Elkhart,13
18041,Indiana,Fayette,7
18043,Indiana,Floyd,7
18045,Indiana,Fountain,8
18047,Indiana,Franklin,7
18049,Indiana,Fulton,9
18051,Indiana,Gibson,7
18053,Indiana,Grant,7
18055,Indiana,Greene,8
18057,Indiana,Hamilton,5
18059,Indiana,Hancock,6
18061,Indiana,Harrison,7
18063,Indiana,Hendricks,6
18065,Indiana,Henry,7
18067,Indiana,Howard,7
18069,Indiana,Huntington,7
18071,Indiana,Jackson,9
18073,Indiana,Jasper,8
18075,Indiana,Jay,9
18077,Indiana,Jefferson,7
18079,Indiana,Jennings,7
18081,Indiana,Johnson,7
18083,Indiana,Knox,8
18085,Indiana,Kosciusko,10
18087,Indiana,LaGrange,33
18089,Indiana,Lake,8
18091,Indiana,LaPorte,8
18093,Indiana,Lawrence,8
18095,Indiana,Madison,8
18097,Indiana,Marion,10
18099,Indiana,Marshall,13
18101,Indiana,Martin,9
18103,Indiana,Miami,9
18105,Indiana,Monroe,6
18107,Indiana,Montgomery,8
18109,Indiana,Morgan,8
18111,Indiana,Newton,10
18113,Indiana,Noble,10
18115,Indiana,Ohio,8
18117,Indiana,Orange,9
18119,Indiana,Owen,9
18121,Indiana,Parke,12
18123,Indiana,Perry,6
18125,Indiana,Pike,8
18127,Indiana,Porter,7
18129,Indiana,Posey,6
18131,Indiana,Pulaski,9
18133,Indiana,Putnam,7
18135,Indiana,Randolph,9
18137,Indiana,Ripley,7
18139,Indiana,Rush,9
18141,Indiana,St. Joseph,8
18143,Indiana,Scott,9
18145,Indiana,Shelby,8
18147,Indiana,Spencer,7
18149,Indiana,Starke,9
18151,Indiana,Steuben,8
18153,Indiana,Sullivan,7
18155,Indiana,Switzerland,9
18157,Indiana,Tippecanoe,9
18159,Indiana,Tipton,7
18161,Indiana,Union,8
18163,Indiana,Vanderburgh,8
18165,Indiana,Vermillion,7
18167,Indiana,Vigo,9
18169,Indiana,Wabash,8
18171,Indiana,Warren,6
18173,Indiana,Warrick,5
18175,Indiana,Washington,8
18177,Indiana,Wayne,8
18179,Indiana,Wells,7
18181,Indiana,White,10
18183,Indiana,Whitley,7
19000,Iowa,,5
19001,Iowa,Adair,5
19003,Iowa,Adams,5
19005,Iowa,Allamakee,8
19007,Iowa,Appanoose,6
19009,Iowa,Audubon,6
19011,Iowa,Benton,4
19013,Iowa,Black Hawk,5
19015,Iowa,Boone,5
19017,Iowa,Bremer,4
19019,Iowa,Buchanan,5
19021,Iowa,Buena Vista,10
19023,Iowa,Butler,5
19025,Iowa,Calhoun,6
19027,Iowa,Carroll,5
19029,Iowa,Cass,7
19031,Iowa,Cedar,5
19033,Iowa,Cerro Gordo,5
19035,Iowa,Cherokee,5
19037,Iowa,Chickasaw,6
19039,Iowa,Clarke,7
19041,Iowa,Clay,5
19043,Iowa,Clayton,7
19045,Iowa,Clinton,5
19047,Iowa,Crawford,10
19049,Iowa,Dallas,4
19051,Iowa,Davis,14
19053,Iowa,Decatur,6
19055,Iowa,Delaware,5
19057,Iowa,Des Moines,5
19059,Iowa,Dickinson,6
19061,Iowa,Dubuque,5
19063,Iowa,Emmet,8
19065,Iowa,Fayette,6
19067,Iowa,Floyd,5
19069,Iowa,Franklin,8
19071,Iowa,Fremont,5
19073,Iowa,Greene,6
19075,Iowa,Grundy,4
19077,Iowa,Guthrie,6
19079,Iowa,Hamilton,5
19081,Iowa,Hancock,6
19083,Iowa,Hardin,6
19085,Iowa,Harrison,6
19087,Iowa,Henry,5
19089,Iowa,Howard,7
19091,Iowa,Humboldt,6
19093,Iowa,Ida,6
19095,Iowa,Iowa,4
19097,Iowa,Jackson,5
19099,Iowa,Jasper,5
19101,Iowa,Jefferson,8
19103,Iowa,Johnson,5
19105,Iowa,Jones,5
19107,Iowa,Keokuk,5
19109,Iowa,Kossuth,5
19111,Iowa,Lee,5
19113,Iowa,Linn,4
19115,Iowa,Louisa,7
19117,Iowa,Lucas,5
19119,Iowa,Lyon,6
19121,Iowa,Madison,5
19123,Iowa,Mahaska,5
19125,Iowa,Marion,4
19127,Iowa,Marshall,7
19129,Iowa,Mills,4
19131,Iowa,Mitchell,7
19133,Iowa,Monona,6
19135,Iowa,Monroe,5
19137,Iowa,Montgomery,6
19139,Iowa,Muscatine,5
19141,Iowa,O'Brien,6
19143,Iowa,Osceola,7
19145,Iowa,Page,6
19147,Iowa,Palo Alto,5
19149,Iowa,Plymouth,5
19151,Iowa,Pocahontas,8
19153,Iowa,Polk,5
19155,Iowa,Pottawattamie,6
19157,Iowa,Poweshiek,5
19159,Iowa,Ringgold,6
19161,Iowa,Sac,6
19163,Iowa,Scott,6
19165,Iowa,Shelby,6
19167,Iowa,Sioux,6
19169,Iowa,Story,5
19171,Iowa,Tama,6
19173,Iowa,Taylor,7
19175,Iowa,Union,6
19177,Iowa,Van Buren,8
19179,Iowa,Wapello,7
19181,Iowa,Warren,4
19183,Iowa,Washington,7
19185,Iowa,Wayne,6
19187,Iowa,Webster,6
19189,Iowa,Winnebago,6
19191,Iowa,Winneshiek,4
19193,Iowa,Woodbury,7
19195,Iowa,Worth,5
19197,Iowa,Wright,5
20000,Kansas,,10
20001,Kansas,Allen,11
20003,Kansas,Anderson,13
20005,Kansas,Atchison,8
20007,Kansas,Barber,12
20009,Kansas,Barton,13
20011,Kansas,Bourbon,10
20013,Kansas,Brown,12
20015,Kansas,Butler,8
20017,Kansas,Chase,9
20019,Kansas,Chautauqua,14
20021,Kansas,Cherokee,11
20023,Kansas,Cheyenne,15
20025,Kansas,Clark,8
20027,Kansas,Clay,9
